Catalogue,Family__,Genus_spec,Day_,Month_,Year_,F__Vouchered,F__Collected,species_pe,Remarks,Latitude,Longitude,F__specimens
42702,22,Cyprinella spiloptera,7,October,1997,284,284,33,,40.03838,-87.55764,15
44780,22,Cyprinella spiloptera,24,September,1997,68,68,26,"boat electroshocking, 1+2",39.25108,-88.17355,15
44805,22,Cyprinella spiloptera,17,September,1997,25,25,17,33 min. electric seine,41.6716,-88.44269,12
47221,22,Cyprinella spiloptera,8,June,1998,90,90,19,,42.48222,-89.24772,15
47530,22,Cyprinella spiloptera,22,July,1998,102,102,15,,39.46521,-88.23019,14
47687,22,Cyprinella spiloptera,25,June,1998,57,57,16,,41.8456,-89.48353,10
51043,22,Cyprinella spiloptera,17,May,1999,21,21,9,sand & debris,39.14797,-87.66404,12
52361,22,Cyprinella spiloptera,13,July,1999,26,29,17,,40.13968,-88.16291,15
53890,22,Cyprinella spiloptera,31,October,1999,200,200,10,,38.26862,-87.91443,15
58618,22,Cyprinella spiloptera,24,May,1990,41,41,12,,42.23359,-88.72511,15
58699,22,Cyprinella spiloptera,7,August,1990,32,32,16,gravel bottom,41.61683,-88.20307,14
62877,22,Cyprinella spiloptera,14,May,1987,23,23,3,gravel & sand overlaid with silt; silt-bottomed pools,41.86115,-88.19272,14
65129,22,Cyprinella spiloptera,17,August,1989,60,60,21,,39.70897,-87.54958,15
97492,22,Cyprinella spiloptera,24,September,2003,36,36,26,,40.64649,-87.72442,15
97956,22,Cyprinella spiloptera,15,June,1988,82,82,23,,40.28033,-88.34673,14
40941,22,Luxilus chrysocephalus,19,September,1996,47,47,14,,40.5705,-89.31847,13
41349,22,Luxilus chrysocephalus,19,August,1994,27,70,19,,40.59546,-88.68572,12
45169,22,Luxilus chrysocephalus,18,September,1997,32,32,31,seine,41.64538,-88.4502,15
45438,22,Luxilus chrysocephalus,23,April,1998,73,73,37,,40.06938,-87.90181,11
52864,22,Luxilus chrysocephalus,18,August,1999,56,56,14,,41.39823,-88.01964,9
58901,22,Luxilus chrysocephalus,25,July,1990,22,22,15,"sand/gravel mixed with silt, brushy pools; 200' segment upstream of bridge sampled with electric seine & 10' X 5' minnow seine",39.61246,-89.57811,13
58924,22,Luxilus chrysocephalus,25,July,1990,45,45,14,gravel & silt raceways & riffles; silt/detritus pools; 170' segment sampled with electric seine & 10' X 5' minnow seine,39.61188,-89.62401,15
65090,22,Luxilus chrysocephalus,17,August,1989,70,70,19,,39.73058,-87.56245,15
68273,22,Luxilus chrysocephalus,14,May,1985,21,21,3,,40.80904,-89.01618,7
95461,22,Luxilus chrysocephalus,13,July,1988,57,1354,19,,40.35935,-88.42305,15
95979,22,Luxilus chrysocephalus,27,July,1987,98,216,25,,39.94692,-88.4551,11
96012,22,Luxilus chrysocephalus,13,August,1987,55,55,14,,40.08348,-88.46309,12
96798,22,Luxilus chrysocephalus,29,September,1987,22,22,23,,40.40043,-88.01147,12
97959,22,Luxilus chrysocephalus,15,June,1988,100,136,23,,40.28033,-88.34673,15
98067,22,Luxilus chrysocephalus,24,August,1987,24,24,24,,40.39811,-88.45664,13
37665,22,Notropis atherinoides,18,April,1996,19,19,11,,41.85001,-88.30713,15
38269,22,Notropis atherinoides,10,July,1996,30,30,16,,41.35385,-88.42199,15
38471,22,Notropis atherinoides,16,July,1996,13,13,10,,41.32657,-88.99508,10
42298,22,Notropis atherinoides,22,September,1997,51,51,29,"rocky riffle, sandy runs & pools; seining",38.34588,-87.82469,15
42351,22,Notropis atherinoides,22,September,1997,46,46,20,seining,38.02549,-88.0126,15
45218,22,Notropis atherinoides,5,September,1996,21,21,7,,42.44361,-88.24739,15
49876,22,Notropis atherinoides,8,July,1997,14,14,15,1 hr boat shocking,41.39765,-88.29024,10
50748,22,Notropis atherinoides,23,September,1998,18,18,32,35 min. boat shocking & seine,41.41704,-88.34768,9
53974,22,Notropis atherinoides,30,October,1999,47,47,9,gravel & sandy shoreline,38.81712,-87.52703,15
57091,22,Notropis atherinoides,4,August,1999,12,144,22,,41.30076,-89.46081,12
57301,22,Notropis atherinoides,21,September,2000,59,59,12,,38.213,-88.09561,15
97071,22,Notropis atherinoides,14,July,1999,13,13,1,Lot No. 150 - Haul 1 Lead & Backup,41.67771,-87.79663,9
97110,22,Notropis atherinoides,3,August,2000,23,23,8,Lot No. 26 - Haul 1 Lead,41.69629,-87.95114,10
98018,22,Notropis atherinoides,30,July,2003,12,12,5,USGS NAWQA site,41.33973,-88.85451,11
103444,22,Notropis atherinoides,9,September,2008,10,15,9,seine haul,40.01291,-89.83809,7
31175,22,Notropis buccatus,21,October,1993,64,64,18,,38.5517,-88.10753,15
43073,22,Notropis buccatus,7,October,1997,26,26,23,,39.92052,-87.82287,11
45762,22,Notropis buccatus,28,April,1998,21,21,21,,40.70034,-87.6841,15
47123,22,Notropis buccatus,17,July,1998,29,29,20,,39.47621,-88.20621,15
65345,22,Notropis buccatus,5,October,1989,54,54,21,,39.70897,-87.54958,15
93847,22,Notropis buccatus,18,July,2001,479,479,18,above bridge,39.52905,-87.58295,15
94661,22,Notropis buccatus,20,July,1987,90,109,16,,39.94505,-88.12318,14
94936,22,Notropis buccatus,22,June,1988,84,84,17,,40.11947,-88.2013,14
95607,22,Notropis buccatus,23,July,2002,100,239,23,,38.92486,-89.04829,14
95732,22,Notropis buccatus,23,July,2002,35,58,17,,39.10788,-88.91807,15
96190,22,Notropis buccatus,22,July,2002,104,104,24,,38.9225,-89.23699,12
96857,22,Notropis buccatus,21,September,1987,41,41,19,,40.14954,-88.03397,15
100742,22,Notropis buccatus,9,August,2001,153,153,25,,39.35638,-87.60513,15
100744,22,Notropis buccatus,16,July,2002,23,23,18,electric seine,39.23169,-88.91216,15
100748,22,Notropis buccatus,15,July,2002,47,47,16,,39.29535,-89.02531,15
28218,22,Phenacobius mirabilis,12,May,1992,12,12,9,slab rock & gravel,39.88028,-90.75708,9
33420,22,Phenacobius mirabilis,14,June,1994,18,18,20,,40.30174,-90.75368,15
42062,22,Phenacobius mirabilis,15,August,1995,20,48,15,,40.51988,-90.38064,14
42089,22,Phenacobius mirabilis,2,August,1995,24,24,14,,40.65791,-90.2334,15
42210,22,Phenacobius mirabilis,27,July,1995,15,37,20,,40.9469,-90.20507,12
44809,22,Phenacobius mirabilis,17,September,1997,22,22,17,33 min. electric seine,41.6716,-88.44269,15
46035,22,Phenacobius mirabilis,30,July,1997,14,14,26,electric seine,42.2761,-88.91543,12
46800,22,Phenacobius mirabilis,26,August,1997,15,15,25,,41.43916,-88.05916,13
65016,22,Phenacobius mirabilis,7,July,1989,18,18,17,"silt, sand bottom; sluggish",39.33921,-90.03671,9
65351,22,Phenacobius mirabilis,5,October,1989,17,17,21,,39.70897,-87.54958,11
68062,22,Phenacobius mirabilis,30,October,1984,22,22,3,,40.67858,-88.9422,15
94535,22,Phenacobius mirabilis,9,August,2001,16,16,23,,39.3667,-87.7728,12
96193,22,Phenacobius mirabilis,22,July,2002,15,31,24,,38.9225,-89.23699,8
98095,22,Phenacobius mirabilis,8,September,1987,30,30,18,,40.3634,-88.34751,15
40278,22,Rhinichthys atratulus,11,August,1995,13,13,20,,40.52377,-90.26888,11
40962,22,Rhinichthys atratulus,25,July,1995,9,9,17,,41.04055,-89.83451,8
46016,22,Rhinichthys atratulus,28,July,1997,14,14,19,electric seine,42.28003,-88.68595,7
46063,22,Rhinichthys atratulus,29,July,1997,10,10,18,electric seine,42.35545,-88.80411,8
46744,22,Rhinichthys atratulus,22,July,1997,8,8,18,electric seine,42.31277,-88.55307,8
61119,22,Rhinichthys atratulus,26,July,1991,13,13,21,gravel/sand riffles; sand/silt pools; abundant aquatic vegetation,42.42423,-88.66747,13
90078,22,Rhinichthys atratulus,1,September,1999,8,28,16,electric seine,41.4547,-90.29577,7
93853,22,Rhinichthys atratulus,18,July,2001,43,131,18,above bridge,39.52905,-87.58295,15
101096,22,Rhinichthys atratulus,13,June,2006,9,9,11,29 min. backpack shocker,40.0265,-87.56031,8
101485,22,Rhinichthys atratulus,6,July,2005,8,8,17,,40.5861,-89.2454,8
102325,22,Rhinichthys atratulus,27,June,2001,10,152,12,seine,39.53846,-90.48357,8
103908,22,Rhinichthys atratulus,28,June,2006,9,9,14,,39.90503,-90.35191,9