region,Population,Land Area (sq mi),Population Density
alabama,4858979.00,50744.00,95.80
alaska,738432.00,571951.00,1.30
arizona,6828065.00,113635.00,60.10
arkansas,2978204.00,52068.00,57.20
california,39144818.00,155959.00,251.00
colorado,5456574.00,103718.00,52.60
connecticut,3590886.00,4845.00,741.20
delaware,945934.00,1954.00,484.10
florida,20271272.00,53927.00,375.90
georgia,10214860.00,57906.00,176.40
hawaii,1431603.00,6423.00,222.90
idaho,1654930.00,82747.00,20.00
illinois,12859995.00,55584.00,231.40
indiana,6619680.00,35867.00,184.60
iowa,3123899.00,55869.00,55.90
kansas,2911641.00,81815.00,35.60
kentucky,4425092.00,39728.00,111.40
louisiana,4670724.00,43562.00,107.20
maine,1329328.00,30862.00,43.10
maryland,6006401.00,9774.00,614.50
massachusetts,6794422.00,7840.00,866.60
michigan,9922576.00,56804.00,174.70
minnesota,5489594.00,79610.00,69.00
mississippi,2992333.00,46907.00,63.80
missouri,6083672.00,68886.00,88.30
montana,1032949.00,145552.00,7.10
nebraska,1896190.00,76872.00,24.70
nevada,2890845.00,109826.00,26.30
new hampshire,1330608.00,8968.00,148.40
new jersey,8958013.00,7417.00,1207.80
new mexico,2085109.00,121356.00,17.20
new york,19795791.00,47214.00,419.30
north carolina,10042802.00,48711.00,206.20
north dakota,756927.00,68976.00,11.00
ohio,11613423.00,40948.00,283.60
oklahoma,3911338.00,68667.00,57.00
oregon,4028977.00,95997.00,42.00
pennsylvania,12802503.00,44817.00,285.70
rhode island,1056298.00,1045.00,1010.80
south carolina,4896146.00,30110.00,162.60
south dakota,858469.00,75885.00,11.30
tennessee,6600299.00,41217.00,160.10
texas,27469114.00,261797.00,104.90
utah,2995919.00,82144.00,36.50
vermont,626042.00,9250.00,67.70
virginia,8382993.00,39594.00,211.70
washington,7170351.00,66544.00,107.80
west virginia,1844128.00,24078.00,76.60
wisconsin,5771337.00,54310.00,106.30
wyoming,586107.00,97100.00,6.00